string	classification	correction
WARREN	s	
BRODY	s	
Steven	s	
JAIMIE	s	
ALICIA	s	
SHOUKRY	s	
RILEY	s	
Ivanoff	s	
UNIVERSITY	i	
HOWARD	s	
HARPER	s	
BLANCHETT	s	
Musk	s	
VAUSE	s	
ARMSTRONG	s	
Ken	s	
HANNAH	s	
Morgan	s	
CORN	s	
Glassman	s	
Loni	s	
Kanzius	s	
CROSS	s	
Xin	s	
Brennan	s	
ROD	s	
RAINN	s	
YOU	i	
SCHNEIDER	s	
JNA	s	JENNA
Leno	s	
Lexie	s	
JUSSIE	s	
Blanchett	s	
WINSLET	s	
Darrell	s	
VICTORIA	s	
CUNNINGHAM	s	
JEANINE	s	
TORRES	s	
PETE	s	
CLOONEY	s	
Jenkins	s	
Parton	s	
Ockelford	s	
Michelle	s	
R	s	
FOSTER	s	
CRAWFORD	s	
Dara	s	
KRUGMAN	s	
Simmons	s	
RONAN	s	
is	i	
SURFACE	s	
GLORIA	s	
Kirstie	s	
REGINA	s	
LENO	s	
NATRUALIST	s	
FEEHERY	s	
Dagan	s	
Nawaz	s	
GUINEAIG	s	
Dorsey	s	
Tnslator	s	Translator
Wahlberg	s	
ter	s	Reporter
Baby	s	
SENNOTT	s	
MAC	s	
Greenspan	s	
MADDEN	s	
LILY	s	
BRADLEY	s	
Kelley	s	
LOPEZ	s	
Ashton	s	
Tralator	s	Translator
Mirren	s	
Cookie	s	
Abramoff	s	
Canseco	s	
Higgins	s	
WITH	i	
JUDY	s	
Belle	s	
Sridhar	s	
Isaacson	s	
Ferguson	s	
FREND	s	FRIEND
Monl	s	
Translar	s	Translator
Colin	s	
Wanda	s	
Crowe	s	
